Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
8,32,3,32,Convolution,Func-Pure,1.0,128,3.7819738771068805e-07, 5.547186685795456e-07,0.027047651328768005, 0.023418234497536,0.00022389113
8,32,3,128,FullyConnected,Crossbar,1.0,128,0.00010320604403672022, 0.00029087471685879866,0.027316432304128002, 0.058023802433536005,0.9366476363
8,32,3,128,FullyConnected,PB-BMP,1.0,128,0.00010931709074458479, 0.00033974218144387704,0.027640567848448004, 0.060612374990336004,1.0552162863
8,32,3,128,FullyConnected,PB-CSR,1.0,128,0.0003283711643829076, 0.0006341846500312971,0.052160639938048, 0.10881491601688599,5.8739473363000005
8,32,3,128,Convolution,PB-BMP,1.0,128,4.254783147216406e-06, 1.060062517138668e-05,0.19767408287769603, 0.3481872663552001,0.00027289136
8,32,3,128,Convolution,PB-CSR,1.0,128,3.676469401515133e-06, 3.052820660937145e-05,0.10883558524544, 0.196071642075136,0.029908724590000005
8,32,3,128,Convolution,Func-RowCol,1.0,128,3.892425488574384e-06, 9.021190960474832e-06,0.24037381149516804, 0.43647624987033606,0.00022389113
8,32,3,128,Convolution,Func-BMP,1.0,128,8.496390789480778e-06, 1.2984529704191083e-05,0.3673606600624641, 0.4903563797176321,0.00027289136
8,32,3,128,Convolution,Func-Pure,1.0,128,6.165080923468925e-06, 8.877162988936707e-06,0.436179650855168, 0.37511882523033596,0.00022389113
8,64,3,28,FullyConnected,Crossbar,0.05,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.05,128,1.060094861118336e-07, 1.0772390790728256e-06,0.0006847157250560001, 0.0017186226929280003,0.0088928603
8,64,3,28,FullyConnected,PB-CSR,0.05,128,6.29966257471616e-08, 6.905868462131577e-07,9.14173952e-05, 0.0011634398558380001,0.012543590299999999
8,64,3,28,FullyConnected,Crossbar,0.1,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.1,128,1.4172029257071362e-07, 1.2936365363104257e-06,0.0007035418270720001, 0.0017441725706080003,0.011299040299999999
8,64,3,28,FullyConnected,PB-CSR,0.1,128,2.3582109442530562e-07, 1.4614324169476498e-06,0.000177981728, 0.0012980464353660002,0.023051360300000004
8,64,3,28,FullyConnected,Crossbar,0.15000000000000002,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.15000000000000002,128,2.226483483095936e-07, 1.7694301472280254e-06,0.0007221283706880002, 0.0017636209944900004,0.0132756493
8,64,3,28,FullyConnected,PB-CSR,0.15000000000000002,128,4.678866536634496e-07, 2.1263845591201936e-06,0.00026591871872000004, 0.001451815306747,0.0338583763
8,64,3,28,FullyConnected,Crossbar,0.2,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.2,128,2.9923425620847365e-07, 2.0330779161956256e-06,0.000741445086976, 0.0017879363334160003,0.0155015273
8,64,3,28,FullyConnected,PB-CSR,0.2,128,5.164995921015937e-07, 1.9511522221446853e-06,0.00035889698304000003, 0.0016073665635240003,0.0464524163
8,64,3,28,FullyConnected,Crossbar,0.25,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
